City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Sur,8,OM,1554144102,79.25,4.23,22.57,59.53,81
Hithadhoo,76,MV,1554143612,83.57,6.08,-0.6,73.08,100
Victoria,75,BN,1554141600,77,6.76,5.28,115.24,88
Margate,20,AU,1554144079,46.4,9.17,-43.03,147.26,81
Mbala,64,ZM,1554144103,65.93,2.33,-8.85,31.37,94
Nikolskoye,20,RU,1554143808,36,6.71,59.7,30.79,59
Rikitea,44,PF,1554143868,76.64,13.62,-23.12,-134.97,100
Barrow,8,AR,1554144104,85.91,8.88,-38.31,-60.23,38
Huittinen,0,FI,1554144069,37.4,8.05,61.18,22.7,55
Kodiak,1,US,1554143926,54,13.87,39.95,-94.76,12
Nyurba,0,RU,1554144105,23.9,6.58,63.29,118.35,80
Mataura,92,NZ,1554143409,48,3,-46.19,168.86,82
Brae,80,GB,1554141000,42.8,25.28,60.4,-1.35,70
Beroroha,0,MG,1554144106,76.37,6.58,-21.68,45.17,46
Muncar,24,ID,1554144107,79.07,3.29,-8.43,114.34,95
Avarua,88,CK,1554141600,78.8,11.41,-21.21,-159.78,83
Ushuaia,75,AR,1554141600,51.8,4.7,-54.81,-68.31,93
Hermanus,12,ZA,1554143454,57.99,8.01,-34.42,19.24,67
Busselton,92,AU,1554143726,64.99,11.34,-33.64,115.35,59
Upernavik,8,GL,1554144108,17.6,8.03,72.79,-56.15,100
Bundaberg,40,AU,1554144011,66.99,9.17,-24.87,152.35,77
Carutapera,92,BR,1554144109,78.53,1.77,-1.2,-46.02,100
Cidreira,0,BR,1554144109,82.13,10.04,-30.17,-50.22,69
Kollam,20,IN,1554141600,87.8,4.7,8.88,76.6,62
Vrangel,36,RU,1554144110,33.26,13.96,42.73,133.08,100
Qaanaaq,44,GL,1554144110,4.55,5.91,77.48,-69.36,84
Atar,0,MR,1554144111,86.45,3,20.52,-13.05,17
Wattegama,24,LK,1554143737,70.07,3.06,7.35,80.68,94
Centralia,1,US,1554143845,52,8.05,39.21,-92.14,43
Tinskoy,0,RU,1554144112,31.28,6.02,56.15,96.92,56
Lagoa,20,PT,1554143828,63,17.22,37.14,-8.45,72
Bethel,90,US,1554141360,33.8,4.52,60.79,-161.76,86
Turukhansk,88,RU,1554144114,28.22,9.44,65.8,87.96,94
Kaufbeuren,0,DE,1554144005,54,8.05,47.88,10.62,76
Jamestown,0,AU,1554143734,44.6,5.57,-33.21,138.6,84
Burnie,0,AU,1554144047,50,7.54,-41.05,145.91,89
Bela,0,PK,1554144115,64.85,1.88,26.23,66.31,44
Boysun,88,UZ,1554144115,36.23,1.39,38.2,67.2,91
Khatanga,88,RU,1554144116,25.61,12.12,71.98,102.47,88
Oktyabrskiy,75,RU,1554144052,36,15.66,55.61,37.97,93
Tuktoyaktuk,20,CA,1554141600,3.2,10.29,69.44,-133.03,84
Fayaoue,8,NC,1554144117,78.53,14.85,-20.65,166.53,100
Lockhart,88,AU,1554141600,59,5.82,-35.22,146.72,76
Hilo,90,US,1554143901,75,3.36,19.71,-155.08,73
Coronado,12,PA,1554142679,93.2,16.11,8.53,-79.9,49
Atuona,68,PF,1554143656,81.5,12.35,-9.8,-139.03,100
Taicheng,92,CN,1554144021,72,1.99,22.25,112.8,96
Oussouye,0,SN,1554141600,96.8,6.93,12.49,-16.54,57
Portland,75,US,1554143652,62.01,1.99,45.52,-122.67,58
Albany,40,US,1554143864,41,28.86,42.65,-73.75,25
Chuy,8,UY,1554144119,77.63,8.25,-33.69,-53.46,87
Tyup,44,KG,1554144119,30.92,2.06,42.73,78.36,96
Bluff,0,AU,1554143989,63.77,9.55,-23.58,149.07,83
Kapaa,20,US,1554143601,72,6.93,22.08,-159.32,73
Hovd,0,NO,1554144015,41,5.82,63.83,10.7,80
Ossora,76,RU,1554144120,26.87,4.34,59.24,163.07,96
Arlit,0,NE,1554144121,88.34,2.73,18.74,7.39,24
Severo-Kurilsk,88,RU,1554144121,27.14,6.42,50.68,156.12,100
Hirara,0,JP,1554144121,67.82,19.73,24.8,125.28,100
Airai,24,TL,1554144122,68.63,1.5,-8.93,125.41,90
Rundu,68,NA,1554144122,82.4,4.74,-17.91,19.77,35
Sijunjung,88,ID,1554144122,70.25,2.06,-0.69,100.95,86
Saskylakh,0,RU,1554144123,10.13,3.78,71.97,114.09,66
Saint-Philippe,1,CA,1554144031,35.01,18.34,45.36,-73.48,46
Tarabuco,36,BO,1554144123,69.53,3.85,-19.18,-64.92,63
Nanortalik,92,GL,1554144123,28.13,16.87,60.14,-45.24,100
Kassala,0,SD,1554144124,72.95,6.53,15.45,36.38,21
Kununurra,36,AU,1554141840,66.2,2.24,-15.77,128.74,82
Huarmey,44,PE,1554144125,77.27,4.12,-10.07,-78.15,65
Talnakh,80,RU,1554144125,24.8,9.93,69.49,88.39,90
Ucluelet,40,CA,1554144070,57.99,5.82,48.94,-125.55,58
Anchorage,1,US,1554144075,42.01,2.51,61.22,-149.89,64
Fortuna,40,ES,1554143973,60.8,8.05,38.18,-1.13,77
Leningradskiy,64,RU,1554144126,12.83,13.35,69.38,178.42,91
Thompson,90,CA,1554141600,32,9.17,55.74,-97.86,74
Kaa-Khem,80,RU,1554144127,31.82,2.33,51.7,94.56,85
Tilichiki,92,RU,1554144130,32.36,11.39,60.47,166.1,92
Changji,92,CN,1554144134,50.18,6.24,32.07,116.17,63
Isangel,100,VU,1554141600,69.8,1.12,-19.55,169.27,94
Adrar,0,DZ,1554141600,80.6,4.7,27.87,-0.29,18
Grindavik,75,IS,1554142915,34,19.46,63.84,-22.43,100
Takoradi,0,GH,1554143994,83.93,8.93,4.89,-1.75,95
Itarema,76,BR,1554144138,83.39,4.9,-2.92,-39.92,91
Codrington,75,AU,1554143780,64.4,3,-28.95,153.24,93
Mahebourg,20,MU,1554143942,75.99,2.24,-20.41,57.7,83
Sibi,0,PK,1554144142,75.92,4.12,29.55,67.88,26
Sadon,92,RU,1554144143,31.46,1.77,42.85,44,94
Watertown,75,US,1554143760,39.2,8.05,44.9,-97.12,69
Butaritari,48,KI,1554143994,82.49,10.33,3.07,172.79,100
Padang,80,ID,1554144146,82.85,3.06,-0.92,100.36,100
Ahipara,36,NZ,1554144147,63.32,11.61,-35.17,173.16,100
Doha,92,QA,1554141600,77,23.04,25.29,51.53,23
Jorochito,75,BO,1554141600,89.6,17.22,-18.06,-63.43,62
Sangmelima,44,CM,1554143776,71.87,2.06,2.93,11.98,99
Cherskiy,88,RU,1554143872,12.83,3.89,68.75,161.3,66
Sinjar,24,SY,1554144151,50.09,11.27,35.59,37,91
Geraldton,75,CA,1554141600,30.2,16.11,49.72,-86.95,58
Castro,75,CL,1554141600,53.6,20.8,-42.48,-73.76,87
Buala,80,SB,1554144152,80.42,5.35,-8.15,159.59,97
Chokurdakh,0,RU,1554144152,0.59,9.66,70.62,147.9,53
Gorontalo,44,ID,1554144153,72.32,2.06,0.54,123.06,94
